GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
integracao,com.ifpe.ts.testes.integracao,Conexao,0,20,0,0,0,8,0,4,0,4
integracao,com.ifpe.ts.testes.integracao,GUI,382,0,10,0,91,0,13,0,8,0
integracao,com.ifpe.ts.testes.integracao,RegistroPessoa,110,0,8,0,24,0,9,0,5,0
integracao,com.ifpe.ts.testes.integracao,Pessoa,8,15,0,0,4,6,2,3,2,3
integracao,com.ifpe.ts.testes.integracao,App,7,0,0,0,3,0,2,0,2,0
